from,to
wc3,warcraft iii
wca,who cares anyway
wckd,wicked
wcm,women crush monday
wcmtsu,we cant make this shit up
wcutm,what can you tell me
wcw,webcam whore
wd,well done
wdalyic,who died and left you in charge
wddd,woopie doo da dey
wdf,worth dying for
wdhlm,why doesnt he love me?
wdidn,what do i do now
wdim,what did i miss
wdr,with due respect
wdt,who does that
wdtm,what does that mean
wduc,what do you care
wdum,what do you mean
wdus,what did you say
wdut,what do you think?
wdutom,what do you think of me
wduw,what do you want
wduwta,what do you wanna talk about
wduwtta,what do you want to talk about
wdwdn,what do we do now
wdwgw,where did we go wrong
wdya,why do you ask
wdydt,why do you do that
wdye,what do you expect
wdyk,what do you know
wdyl,who do you like
wdym,what do you mean
wdymbt,what do you mean by that
wdys,what did you say
wdyt,what do you think
wdytia,who do you think i am?
wdyw,what do you want
wdywd,what do you want to do?
wdywta,what do you wanna talk about
wdywtd,what do you want to do
wdywtdt,why do you want to do that?
wdywtta,what do you want to talk about
we,whatever
webby,webcam
weg,wicked evil grin
welc,welcome
wen,when
wenja,when do you
werja,where do you
werkz,works
werru,where are you
werubn,where have you been
wetsu,we eat this shit up
wev,whatever
weve,what ever
wevr,whatever
wf,way fun
wfh,working from home
wfhw,what's for homework
wfm,works for me
wfyb,whatever floats your boat
wg,wicked gril
wgac,who gives a crap
wgaf,who gives a fuck
wgaff,who gives a flying fuck
wgas,who gives a shit
wgasa,who gives a shit anyway
wgmgd,what gets measured gets done
wgo,what's going on
wgph2,want to go play halo 2?
wh5,who what when where why
wha,what?
whaddya,what do you
whaletail,thong
whasup,what's up
what^,what's up?
whatcha,what are you
whatev,whatever
whatevs,whatever
whats ^,whats up
whenevs,whenever
whevah,where ever
whever,whatever
whf,wanna have fun?
whit,with
whodi,friend
whr,where
whs,wanna have sex
wht,what
wht^,what up
whteva,what ever
whteve,whatever
whtever,whatever
whtevr,whatever
whtvr,whatever
whubu2,what have you been up to
whubut,what have you been up to
whut,what
whuzup,what's up
whyb,where have you been
whyd,what have you done
whydtm,what have you done to me
wibamu,well
wibni,wouldnt it be nice if
wid,with
widout,without
wieu2,what is everyone up to
wif,with
wiid,what if i did
wiifm,whats in it for me
wiify,whats in it for you
wiiwii,well it is what it is
wiki,wikipedia
wikipedia,wikipedia
wilb,workplace internet leisure browsing
wilco,will comply
wim,woe is me
winnar,winner
wio,without
wip,work in progress
wirld,world
wisp,winning is so pleasureable
wit,with
witcha,with you
witfits,what in the fuck is this shit
witfp,what is the fuck point
witu,with you
witw,what in the world
witwct,what is the world coming too
witwu,who is there with you
witwwyt,what in the world were you thinking
wiu,what is up?
wiuwu,what is up with you
wiv,with
wiw,wife is watching
wiwhu,wish i was holding you
wiwt,wish i was there
wiyp,what is your problem
wjwd,what jesus would do
wk,week
wkd,wicked
wkend,weekend
wkewl,way cool
wknd,weekend
wl,will
wlc,welcome
wlcb,welcome back
wlcm,welcome
wld,would
wlkd,walked
wlmirl,would like to meet in real life
wlos,wife looking over shoulder
wltm,would like to meet
wlu,wicked
wlu2,wicked
wmao,working my ass off
wmd,weapons of mass destruction
wmgl,wish me good luck
wmhgb,where many have gone before
wml,wish me luck
wmmows,wash my mouth out with soap
wmpl,wet my pants laughing
wmts,we must talk soon
wmyb,what makes you beautiful
wn,when
wna,want to
wndy,windy
wnkr,wanker
wnohgb,where no one has gone before
wnrn,why not right now
wnt,want
wntd,what not to do
woa,word of advice
woc,welcome on cam
wochit,watch it
woe,what on earth
woft,waste of fuck time
wog,wise old guy
wogge,what on god's green earth?
wogs,waste of good sperm
wolo,we only live once
wom,word of mouth
wombat,"waste of money, brains, and time"
womobijo,working mother with a big job
woof,well off older folks
woot,woohoo
wop,with out papers
word,cool
wos,waste of space
wot,what
wotam,waste of time and money
wotd,word of the day
wotevs,whatever
wotv,what's on television?
wotw,word of the week
woum,what's on your mind
wowzers,wow
woz,was
wp,wrong person
wpe,worst president ever (bush)
wrd,word
wrdo,weirdo
wrgad,who really gives a damn
wrgaf,who really gives a fuck
wrk,work
wrm,which reminds me
wrng,wrong
wrt,with regard to
wrtg,writing
wrthls,worthless
wru,where are you
wrud,what are you doing
wrudatm,what are you doing at the moment
wruf,where are you from
wruu2,what are you up to
wsb,wanna cyber?
wsf,we should fuck
wshtf,when shit hits the fan
wsi,why should i
wsibt,when should i be there
wsidi,why should i do it
wsop,world series of poker
wsu,what say you
wswta,what shall we talk about?
wt,what the
wtaf,what the actual fuck
wtb,want to buy
wtbd,what's the big deal
wtbh,what the bloody hell
wtc,what the crap
wtcf,what the crazy fuck
wtd,what the deuce
wtdb,whats the difference between
wtf,what the fuck
wtfaud,what the fuck are you doing?
wtfay,who the fuck are you
wtfayd,what the fuck are you doing
wtfayt,why the fuck are you talking
wtfayta,what the fuck are you talking about?
wtfb,what the fuck bitch
wtfbs,what the fuck bull shit
wtfc,who the fuck cares
wtfdik,what the fuck do i know
wtfdtm,what the fuck does that mean
wtfdum,what the fuck do you mean
wtfduw,what the fuck do you want?
wtfdyjs,what the fuck did you just say
wtfdyw,what the fuck do you want
wtfe,what the fuck ever
wtfever,what the fuck ever
wtfg,what the fuck god
wtfgda,way to fucking go
wtfh,what the fuck hell
wtfhb,what the fuck hell bitch
wtfhwt,what the fuck hell was that
wtfigo,what the fuck is going on
wtfigoh,what the fuck is going on here
wtfit,what the fuck is that
wtfits,what the fuck is this shit
wtfiu,what the fuck is up
wtfiup,what the fuck is your problem
wtfiuwy,what the fuck is up with you
wtfiwwu,what the fuck is wrong with you
wtfiwwy,what the fuck is wrong with you
wtfiyp,what the fuck is your problem
wtfm,what the fuck mate?
wtfmf,what the fuck mother fuck
wtfo,what the fuck over
wtfru,what the fuck are you
wtfrud,what the fuck are you doing?
wtfrudng,what the fuck are you doing
wtfrudoin,what the fuck are you doing
wtfruo,what the fuck are you on?
wtfruttd,what the fuck are you trying to do
wtfs,what the fuck shit
wtfuah,what the fuck you asshole
wtful,what the fuck you loser
wtfwjd,what the fuck would jesus do
wtfwt,what the fuck was that
wtfwtd,what the fuck was that dude
wtfwtf,what the fuck was that for?
wtfwycm,why the fuck would you call me
wtfya,what the fuck you asshole
wtfyb,what the fuck you bitch
wtfytt,who the fuck you talking to
wtg,way to go
wtg4a\\%/,want to go for a drink
wtgds,way to go dumb shit
wtgp,want to go private
wth,what the hell
wtharud,what the heck are you doing
wthau,who the hell are you
wthauwf,what the hell are you waiting for
wthay,who the hell are you
wthayd,what the heck are you doing
wthaydwmgf,what the hell are you doing with my girlfriend
wthdydt,why the hell did you do that
wthhyb,where the hell have you been?
wthigo,what the hell is going on
wthin,what the hell is next
wthiwwu,what the hell is wrong with you
wtho,want to hang out?
wthow,white trash headline of the week
wthru,who the heck are you
wthrud,what the hell are you doing?
wths,want to have sex
wthswm,want to have sex with me
wthwt,what the hell was that?
wthwut,what the hell were you thinking
wthyi,what the hell you idiot
wtii,what time is it
wtiiot,what time is it over there?
wtityb,"whatever, tell it to your blog"
wtly,welcome to last year
wtmc,what the mother c
wtmf,what the mother fuck
wtmfh,what the mother fuck hell
wtmi,way too much information
wtmtr,what's the matter
wtn,what then now
wtp,where's the party
wtpa,where the party at
wtrud,what are you doing
wts,want to sell
wtsds,where the sun dont shine
wtshtf,when the shit hits the fan
wtt,want to trade
wttm,without thinking too much
wttp,want to trade pictures?
wtv,whatever
wtva,whatever
wtvr,whatever
wtwm,what time are we meeting?
wtwr,well that was random
wu,what's up?
wu2kilu,want you to know i love you
wub,love
wubmgf,will you be my girlfriend?
wubu2,what you been up to
wubut,what you been up too
wud,would
wudev,whatever
wudn,what you doing now
wuf,where you from
wufa,where you from again
wugowm,will you go out with me
wula,what you looking at?
wuld,would
wuny,wait until next year
wussup,what is up?
wut,what
wutb,what are you talking about
wutcha,what are you
wuteva,whatever
wutevr,what ever
wuts,what is
wutup,what's up
wuu2,what you up to
wuu22m,what you up to tomorrow
wuut,what you up to
wuv,love
wuwh,wish you were here
wuwhima,wish you were here in my arms
wuwt,what's up with that
wuwta,what do you want to talk about
wuwtab,what do you want to talk about
wuwtb,what do you want to talk about
wuwtta,what you want to talk about
wuwttb,what you want to talk about
wuwu,what up with you
wuz,was
wuz4dina,whats for dinner
wuza,what's up
wuzup,what's up
wwc,who would care
wwcnd,what would chuck norris do
wwdhd,what would david hasselhoff do
wwe,world wrestling entertainment
wwgf,when we gonna fuck
wwhw,when where how why
wwikt,why would i know that
wwjd,what would jesus do?
wwno,walker wheels need oil
wwsd,what would satan do
wwt,what was that
wwtf,what was that for
wwudtm,what would you do to me
wwut,what were you thinking
www,world wide web
wwwy,what's wrong with you
wwy,where were you
wwycm,when will you call me
wwyd,what would you do?
wwyd2m,what would you do to me
wwyt,what were you thinking
wx,weather
wy,why?
wyas,wow you are stupid
wyatb,wish you all the best
wyauimg,why you all up in my grill?
wyb,watch your back
wybts,were you born this sexy
wyc,will you come
wycm,will you call me
wyd,what are you doing
wyfm,would you fuck me
wyg,will you go
wygac,when you get a chance
wygam,when you get a minute
wygiswypf,what you get is what you pay for
wygowm,will you go out with me
wygwm,will you go with me
wyhi,would you hit it?
wyhswm,would you have sex with me
wylion,whether you like it or not
wyltk,wouldn't you like to know
wylym,watch your language young man
wym,what you mean?
wymyn,women
wyn,what's your name
wyp,what's your problem?
wypsu,will you please shut up
wyrn,whats your real name
wys,wow you're stupid
wysiayg,what you see is all you get
wysilob,what you see is a load of bullocks
wysitwirl,what you see is totally worthless in real life
wysiwyg,what you see if what you get
wyslpg,what you see looks pretty good
wyt,whatever you think
wytb,wish you the best
wyw,what you want
wywh,wish you were here
wywo,while you were out
x,times
x treme,extreme
x-(,angry
x-i-10,exciting
x-p,joking
xb36t,xbox 360
xbf,ex-boyfriend
xbl,xbox live
xcept,except
xcpt,except
xd,laughing
xdd,laughing especially hard
xellent,excellent
xfer,transfer
xgf,exgirlfriend
xi10,exciting
xing,crossing
xit,exit
xl,extra large
xlnt,excellent
xmas,christmas
xme,excuse me
xmpl,example
xoac,christ on a crutch
xor,hacker
xover,crossover
xox,hugs and kisses
xoxo,hugs and kisses
xoxozzz,hugs and kisses and sweet dreams
xp,experience
xpect,expect
xplaned,explained
xpt,except
xqzt,exquisite
xroads,crossroads
xs,excess
xtc,ecstasy
xtra,extra
xtreme,extreme
xxcc,kiss
xyz,examine your zipper
xyzpdq,examine your zipper pretty darn quick
y,why
y w,you're welcome
y!a,yahoo answers
y'all,you all
y/n,yes or no
y/o,years old
y00,you
y2b,youtube
y2k,year 2000
ya,yeah
ya yaya,yet another yaya as in yoyo
ya'll,you all
yaaf,you are a fuck
yaafm,you are a fuck moron
yaagf,you are a good friend
yaai,you are an idiot
yaba,yet another bloody acronym
yacc,yet another calendar company
yaf,you're a fuck
yafi,you're a fuck idiot
yafiygi,you asked for it you got it
yag,you are gay
yahoo,you always have other options
yajwd,you aint just whistling dixie
yall,you all
yam,yet another meeting
yaotm,yet another off topic message
yapa,yet another pointless acronym
yaqw,you are quite welcome
yarbwyr,youre a right bleedn wanker you are
yarly,yeah really
yas,you are stupid
yasan,you are such a nerd
yasf,you are so funny
yasfg,you are so fuck gay
yasg,you are so gay
yasw,you are so weird
yatb,you are the best
yatfm,you are too fucking much
yati,youre a total idiot
yatwl,you are the weakest link
yaun,yet another unix nerd
yaw,you are welcome
yayo,cocaine
yb,you btch
ybbg,your brother by grace
ybf,youve been fucked
ybs,you'll be sorry
yby,yeah baby yeah
ybya,you bet your ass
ybysa,you bet your sweet ass
ycliu,you could look it up
ycmtsu,you can't make this shit up
ycmu,you crack me up
ycntu,why cant you?
yct,your comment to
yctwuw,you can think what you want
ydkm,you dont know me
ydpos,you dumb piece of shit
ydtm,you're dead to me
ydufc,why do fuck care?
yduwtk,why do you want to know
ye,yeah
yea,yeah
yeppies,young experimenting perfection seekers
yer,you're
yermom,your mother
yesh,yes
yew,you
yf,wife
yfb,you fuck bastard
yfg,you're fuck gay
yfi,you fuck idiot
ygbk,you gotta be kidding
ygbsm,you gotta be shiting me
ygg,you go girl
yglt,youre gonna love this
ygm,you got mail
ygp,you got punked!
ygpm,you've got a private message
ygrr,you got rick rolled
ygtbfkm,you've got to be fuck kidding me
ygtbk,you've got to be kidding
ygtbkm,you got to be kidding me
ygtbsm,you've got to be shitting me
ygtsr,you got that shit right
ygwypf,you get what you pay for
yh,yeah
yhbt,you've been trolled
yhbw,you have been warned
yhew,you
yhf,you have failed
yhgtbsm,you have got to be shitting me
yhl,you have lost
yhm,you have mail
yhni,you have no idea
yhpm,you have a private messge
yhtbt,you had to be there
yic,yours in christ
yid,"yes, i do"
yim,yahoo instant messenger
yiu,yes
yiwgp,yes
yiwtgo,"yes, i want to go private"
yk,you kidding
yki,you know it
ykisa,your knight in shining armor
ykm,you're killing me
ykn,you know nothing
ykw,you know what
ykwim,you know what i mean
ykwya,you know who you are
ykywywm,you know you wish you were me
ylb,you little bitch
ylh,your loving husband
yllo,you lie like obama
ylw,your loving wife
ym,your mom
ymak,you may already know
ymal,you might also like
ymbkm,you must be kidding me
yme,why me
ymfp,your most favorite person
ymg2c,your mom goes to college
ymgtc,your mom goes to college
ymiaw,your mom is a whore
ymislidi,you make it sound like i did it
ymmd,you made my day
ymmv,your mileage may vary
ymrasu,"yes, my retarded ass signed up"
ymybnycsii,you made your bed now you can sleep in it
yn,why not
yng,young
yngbt,youre not gonna believe this
ynk,you never know
ynm,"yes, no, maybe"
ynt,why not
ynw,you know what
yo,year old
yo',your
yodo,you only die once
yolo,you only live once
yolt,you only live twice
yomank,you owe me a new keyboard
yooh,you
yooper,someone from up
yor,your
youfuck,you fuck
youngin,young person
yoy,why oh why
yoyo,youre on your own
ypmf,you pissed me off
ypmo,you piss me off
ypom,your place or mine
yqw,you're quite welcome
yr,year
yrbk,yearbook
yrms,you rock my socks
yrs,years
yrsaf,you are such a fool
yrsm,you really scare me
yrss,you are so sexy
yru,why are you?
yrubm,why are you bugging me?
yrusm,why are you so mean
yryocc,youre running on your own cuckoo clock
ys,you suck
ysa,you suck ass
ysal,you suck at life
ysan,youre such a nerd
ysati,you suck at the internet
ysdiw8,why should i wait
ysf,you stupid fuck
ysic,why should i care
ysitm,your shirt is too small
ysk,you should know
ysm,you scare me
ysoab,you son of a bitch
yss,you stupid shit
yswnt,why sleep when not tired?
ysyd,yeah
yt,you there?
ytb,youre the best
ytd,year to date
ytf,why the fuck
ytfwudt,why the fuck would you do that?
ythwudt,why the hell would you do that
ytis,you think i'm special?
ytm,you tell me
ytmnd,"you're the man now, dog!"
ytrnw,yeah thats right
yttm,you talk too much
yttt,you telling the truth
yty,why thank you
yu,you
yua,you ugly ass
yumpi,young upwardly mobile professional idiot
yuo,you
yup,yes
yuppies,young urban professionals
yur,your
yust,why you say that
yvfw,you're very fuck welcome
yvw,you're very welcome
yw,you're welcome
ywapom,you want a piece of me?
ywia,you're welcome in advance
ywic,why would i care
yws,you want sex
ywsyls,you win some you lose some
ywud,yo whats up dude
ywvm,you're welcome very much
ywywm,you wish you were me
yy4u,too wise for you
yyssw,yeah yeah sure sure whatever
yysw,"yeah, yeah, sure, whatever"
z,said
z'omg,oh my god
z0mg,oh my god
zerg,to gang up on someone
zex,sex
zh,zero hour
zig,cigarette
zmg,oh my god
zomfg,oh my fuck god
zomg,oh my god
zomgzorrz,oh my god
zoot,woohoo
zot,zero tolerance
zt,zoo tycoon
zup,what's up?
zzz,sleeping
{},hug
|-o,yawn
"~,~",napping
~:0,baby
